EUBO	ELBO	ESS
-507.335	-507.359	9.999
-507.331	-507.359	9.999
-507.335	-507.355	9.999
-507.336	-507.352	9.999
-507.335	-507.360	9.999
-507.333	-507.361	9.999
-507.334	-507.358	9.999
-507.333	-507.364	9.999
-507.335	-507.358	9.999
-507.333	-507.359	9.999
-507.328	-507.370	9.999
-507.332	-507.361	9.999
-507.334	-507.360	9.999
-507.331	-507.360	9.999
-507.333	-507.362	9.999
-507.329	-507.362	9.999
-507.337	-507.358	9.999
-507.332	-507.364	9.999
-507.335	-507.361	9.999
-507.334	-507.361	9.999
-507.334	-507.361	9.999
-507.333	-507.360	9.999
-507.332	-507.364	9.999
-507.333	-507.360	9.999
-507.333	-507.362	9.999
-507.330	-507.362	9.999
-507.332	-507.361	9.999
-507.333	-507.358	9.999
-507.335	-507.359	9.999
-507.335	-507.359	9.999
-507.333	-507.363	9.999
-507.333	-507.359	9.999
-507.333	-507.362	9.999
-507.332	-507.363	9.999
-507.338	-507.356	9.999
-507.334	-507.360	9.999
-507.333	-507.367	9.999
-507.326	-507.368	9.999
-507.336	-507.363	9.999
-507.333	-507.362	9.999
-507.337	-507.358	9.999
-507.333	-507.362	9.999
-507.331	-507.356	9.999
-507.330	-507.359	9.999
-507.336	-507.353	9.999
-507.332	-507.367	9.999
-507.332	-507.362	9.999
-507.336	-507.363	9.999
-507.334	-507.360	9.999
-507.337	-507.357	9.999
-507.335	-507.357	9.999
-507.330	-507.362	9.999
-507.333	-507.362	9.999
-507.336	-507.357	9.999
-507.327	-507.368	9.999
-507.336	-507.356	9.999
-507.328	-507.362	9.999
-507.335	-507.356	9.999
-507.335	-507.359	9.999
-507.336	-507.360	9.999
-507.336	-507.355	9.999
-507.332	-507.361	9.999
-507.335	-507.357	9.999
-507.331	-507.360	9.999
-507.335	-507.355	9.999
-507.336	-507.359	9.999
-507.334	-507.358	9.999
-507.330	-507.365	9.999
-507.335	-507.360	9.999
-507.327	-507.364	9.999
-507.331	-507.359	9.999
-507.333	-507.360	9.999
-507.336	-507.357	9.999
-507.329	-507.365	9.999
-507.332	-507.360	9.999
-507.337	-507.353	9.999
-507.332	-507.358	9.999
-507.334	-507.360	9.999
-507.333	-507.360	9.999
-507.334	-507.361	9.999
-507.334	-507.358	9.999
-507.331	-507.359	9.999
-507.333	-507.361	9.999
-507.332	-507.362	9.999
-507.333	-507.360	9.999
-507.333	-507.360	9.999
-507.334	-507.360	9.999
-507.325	-507.364	9.999
-507.333	-507.359	9.999
-507.328	-507.363	9.999
-507.336	-507.361	9.999
-507.335	-507.360	9.999
-507.333	-507.357	9.999
-507.331	-507.355	9.999
-507.331	-507.358	9.999
-507.326	-507.369	9.999
-507.338	-507.356	9.999
-507.332	-507.359	9.999
